country_iso2,country_name,city,city_std,year,region,subregion,geoname_id,lat,lon,population,pct_pt_access
AF,Afghanistan,Charikar,Charikar,2020,Asia,Southern Asia,1145352,35.01361,69.17139,53676,77.51385
AF,Afghanistan,Farah,Farah,2020,Asia,Southern Asia,1142264,32.37451,62.11638,43561,69.49938
AF,Afghanistan,Herat,Herāt,2020,Asia,Southern Asia,1140026,34.34817,62.19967,574300,50.35842
AF,Afghanistan,Jalalabad,Jalālābād,2020,Asia,Southern Asia,1139715,34.42647,70.45153,271900,44.18398
AF,Afghanistan,Kabul,Kabul,2020,Asia,Southern Asia,1138958,34.52813,69.17233,4434550,19.06218
AF,Afghanistan,Kandahar,Kandahār,2020,Asia,Southern Asia,1138336,31.61332,65.71013,523300,43.14528
AF,Afghanistan,Khan Abad,Khanabad,2020,Asia,Southern Asia,1137168,36.68304,69.11279,71531,82.36933
AF,Afghanistan,Lashkargah,Lashkar Gāh,2020,Asia,Southern Asia,1134720,31.59382,64.37161,43934,56.29534
AF,Afghanistan,Lashkargah,Lashkar Gāh,2020,Asia,Southern Asia,1134720,31.59382,64.37161,43934,56.29534
AF,Afghanistan,Mazar E Sharif,Mazār-e Sharīf,2020,Asia,Southern Asia,1133616,36.70904,67.11087,523300,57.76331
AF,Afghanistan,Mazar E Sharif,Mazār-e Sharīf,2020,Asia,Southern Asia,1133616,36.70904,67.11087,523300,57.76331
AF,Afghanistan,Pul E Khumri,Pul-e Khumrī,2020,Asia,Southern Asia,1130490,35.94458,68.71512,56369,49.0424
AF,Afghanistan,Pul E Khumri,Pul-e Khumrī,2020,Asia,Southern Asia,1130490,35.94458,68.71512,56369,49.0424
AU,Australia,Adelaide,Adelaide,2020,Oceania,Australia and New Zealand,2078025,-34.92866,138.59863000000001,1387290,92.54682
AU,Australia,Alice Springs,Alice Springs,2020,Oceania,Australia and New Zealand,2077895,-23.69748,133.88362,25186,94.56754
AU,Australia,Brisbane,Brisbane,2020,Oceania,Australia and New Zealand,2174003,-27.46794,153.02809,2582007,89.05395
AU,Australia,Bunbury,Bunbury,2020,Oceania,Australia and New Zealand,2075432,-33.32711,115.64137,76452,93.92291
AU,Australia,Cairns,Cairns,2020,Oceania,Australia and New Zealand,2172797,-16.92366,145.76613,153075,77.17623
